,rank,logo,title,symbol,price,price24h,marketcap,volume24h1,circulatingspply,fullydilutedmcap
0,1,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,Bitcoin,BTC,"$61,667.88",6.11%,"$1,163,948,506,694","$34,075,699,138","18,874,468 BTC","$1,163,948,506,694"
1,2,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,Ethereum,ETH,"$4,351.37",7.23%,"$515,022,873,644","$19,047,555,043","118,358,892 ETH","$515,022,873,644"
2,3,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,Binance Coin,BNB,$616.06,5.89%,"$102,759,528,752","$2,450,523,316","166,801,148 BNB","$102,759,528,752"
3,4,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,Tether,USDT,$1.00,0.03%,"$73,768,776,548","$72,312,263,139","73,761,443,730 USDT","$73,768,776,548"
4,5,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,Solana,SOL,$229.03,4.96%,"$69,473,297,563","$2,725,826,818","303,331,219 SOL","$69,473,297,563"
5,6,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,Cardano,ADA,$1.95,4.93%,"$64,921,642,713","$1,836,408,037","33,313,246,915 ADA","$64,921,642,713"
6,7,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,XRP,XRP,$1.13,6.36%,"$53,366,710,718","$3,216,794,116","47,158,974,920 XRP","$53,366,710,718"
7,8,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png,Polkadot,DOT,$41.97,10.28%,"$41,449,631,101","$1,632,905,448","987,579,315 DOT","$41,449,631,101"
8,9,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,USD Coin,USDC,$0.9999,0.00%,"$34,420,087,540","$4,790,559,719","34,424,351,584 USDC","$34,420,087,540"
9,10,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,Dogecoin,DOGE,$0.2494,4.92%,"$32,946,056,806","$1,303,240,272","132,126,996,640 DOGE","$32,946,056,806"
10,101,https://s2.coinmarketcap.com/static/img/coins/64x64/2634.png,XDC Network,XDC,$0.0885,8.36%,"$1,089,033,194","$4,502,688","12,305,012,699 XDC","$1,089,033,194"
11,102,https://s2.coinmarketcap.com/static/img/coins/64x64/6950.png,Perpetual Protocol,PERP,$15.75,8.10%,"$1,082,053,872","$50,020,496","68,700,000 PERP","$1,082,053,872"
12,103,https://s2.coinmarketcap.com/static/img/coins/64x64/2586.png,Synthetix,SNX,$9.26,7.79%,"$1,063,299,663","$116,305,875","114,841,533 SNX","$1,063,299,663"
13,104,https://s2.coinmarketcap.com/static/img/coins/64x64/1698.png,Horizen,ZEN,$89.81,8.36%,"$1,054,626,375","$63,227,207","11,742,350 ZEN","$1,054,626,375"
14,105,https://s2.coinmarketcap.com/static/img/coins/64x64/2394.png,Telcoin,TEL,$0.01913,5.19%,"$1,052,500,065","$19,453,468","55,027,110,195 TEL","$1,052,500,065"
15,106,https://s2.coinmarketcap.com/static/img/coins/64x64/5604.png,Secret,SCRT,$7.02,9.30%,"$1,052,149,646","$8,576,281","149,815,729 SCRT","$1,052,149,646"
16,107,https://s2.coinmarketcap.com/static/img/coins/64x64/3783.png,Ankr,ANKR,$0.1263,11.14%,"$1,031,367,100","$442,103,034","8,162,899,378 ANKR","$1,031,367,100"
17,108,https://s2.coinmarketcap.com/static/img/coins/64x64/5777.png,renBTC,RENBTC,"$61,210.72",6.41%,"$1,032,610,920","$5,927,598","16,870 RENBTC","$1,032,610,920"
18,109,https://s2.coinmarketcap.com/static/img/coins/64x64/1727.png,Bancor,BNT,$4.24,7.13%,"$1,003,593,945","$43,051,251","236,491,867 BNT","$1,003,593,945"
19,110,https://s2.coinmarketcap.com/static/img/coins/64x64/1896.png,0x,ZRX,$1.15,10.40%,"$970,811,927","$87,761,337","845,496,055 ZRX","$970,811,927"
20,201,https://s2.coinmarketcap.com/static/img/coins/64x64/5015.png,HEX,HEX,$0.2159,12.40%,"$37,439,279,635","$24,844,913","173,411,074,413 HEX","$37,439,279,635"
21,202,https://s2.coinmarketcap.com/static/img/coins/64x64/8085.png,Lido stETH,STETH,"$4,322.88",7.12%,"$6,379,885,203","$15,595,462","1,475,842 STETH","$6,379,885,203"
22,203,https://s2.coinmarketcap.com/static/img/coins/64x64/7192.png,Wrapped BNB,WBNB,$621.92,5.12%,"$3,310,104,023","$1,476,037,291","5,322,353 WBNB","$3,310,104,023"
23,204,https://s2.coinmarketcap.com/static/img/coins/64x64/7686.png,Bitcoin Cash ABC,BCHA,$148.33,8.97%,"$2,754,860,900","$26,073","18,572,921 BCHA","$2,754,860,900"
24,205,https://s2.coinmarketcap.com/static/img/coins/64x64/6941.png,Huobi BTC,HBTC,"$61,684.13",6.31%,"$2,460,214,781","$5,583,414","39,884 HBTC","$2,460,214,781"
25,207,https://s2.coinmarketcap.com/static/img/coins/64x64/8757.png,SafeMoon,SAFEMOON,$0.000003461,7.13%,"$2,026,820,850","$11,107,707","585,536,366,402,812 SAFEMOON","$2,026,820,850"
26,208,https://s2.coinmarketcap.com/static/img/coins/64x64/8677.png,Symbol,XYM,$0.3462,12.57%,"$1,932,862,814","$4,030,855","5,582,460,005 XYM","$1,932,862,814"
27,210,https://s2.coinmarketcap.com/static/img/coins/64x64/11346.png,Radio Caca,RACA,$0.009442,12.60%,"$1,716,968,426","$221,400,916","181,850,767,347 RACA","$1,716,968,426"
28,301,https://s2.coinmarketcap.com/static/img/coins/64x64/9258.png,Chia Network,XCH,$149.40,6.92%,"$236,389,911","$23,422,964","1,582,223 XCH","$236,389,911"
29,302,https://s2.coinmarketcap.com/static/img/coins/64x64/1230.png,Steem,STEEM,$0.5996,3.11%,"$236,076,605","$20,501,322","393,692,586 STEEM","$236,076,605"
30,303,https://s2.coinmarketcap.com/static/img/coins/64x64/11374.png,Mines of Dalarnia,DAR,$1.91,17.96%,"$235,289,268","$42,133,934","123,200,000 DAR","$235,289,268"
31,305,https://s2.coinmarketcap.com/static/img/coins/64x64/5618.png,Dawn Protocol,DAWN,$3.25,1.59%,"$233,210,396","$17,890,480","71,708,317 DAWN","$233,210,396"
32,306,https://s2.coinmarketcap.com/static/img/coins/64x64/4950.png,LCX,LCX,$0.3142,12.21%,"$232,352,045","$13,611,375","739,597,149 LCX","$232,352,045"
33,307,https://s2.coinmarketcap.com/static/img/coins/64x64/7206.png,TitanSwap,TITAN,$4.32,11.44%,"$230,715,280","$7,462,880","53,404,160 TITAN","$230,715,280"
34,308,https://s2.coinmarketcap.com/static/img/coins/64x64/4056.png,Ampleforth,AMPL,$0.8657,2.61%,"$230,624,505","$5,729,671","266,409,376 AMPL","$230,624,505"
35,309,https://s2.coinmarketcap.com/static/img/coins/64x64/7857.png,Mirror Protocol,MIR,$2.96,4.56%,"$230,001,525","$28,928,001","77,742,680 MIR","$230,001,525"
36,310,https://s2.coinmarketcap.com/static/img/coins/64x64/7208.png,Polkastarter,POLS,$2.83,8.58%,"$229,722,209","$23,842,773","81,301,332 POLS","$229,722,209"
